id,title,author,year,total_weeks,first_week,debut_rank,best_rank,author_count,author_first_name,author_last_name,author_gender,author_race
1070,CITY ON FIRE,Garth Risk Hallberg,2015,2,2015-11-01,5,5,1,['Garth'],['Hallberg'],['M'],['white']
1071,CLAIR DE LUNE,Pierre La Mure,1962,3,1962-12-23,15,15,1,['Pierre'],['Mure'],['M'],['white']
1072,CLANSMEN,Ethel Boileau,1936,4,1936-06-15,5,5,1,['Ethel'],['Boileau'],['F'],['white']
1073,CLASS REUNION,Rona Jaffe,1979,21,1979-06-10,13,4,1,['Rona'],['Jaffe'],['F'],['white']
1074,CLAUDIUS THE GOD,Robert Graves,1935,3,1935-04-15,6,6,1,['Robert'],['Graves'],['M'],['white']
1075,CLAWBACK,J. A. Jance,2016,1,2016-03-27,11,11,1,['J.'],['Jance'],['M'],['white']
1076,CLAWS AND EFFECT,Rita Mae Brown and Sneaky Pie Brown,2001,1,2001-03-18,15,15,2,"['Rita', 'Sneaky']","['Brown', 'Brown']","['F', None]","['white', 'white']"
1077,CLEA,Lawrence Durrell,1960,13,1960-04-10,16,7,1,['Lawrence'],['Durrell'],['M'],['white']
1078,CLEAR AND PRESENT DANGER,Tom  Clancy,1990,1,1990-05-20,13,13,1,['Tom'],['Clancy'],['M'],['white']
1079,CLEAR AND PRESENT DANGER,Tom Clancy,1989,44,1989-09-03,1,1,1,['Tom'],['Clancy'],['M'],['white']
108,A FEAST FOR CROWS,George R. R. Martin,2005,5,2005-11-27,1,1,1,['George'],['Martin'],['M'],['white']
1080,CLOAK OF DARKNESS,Helen MacInnes,1982,6,1982-10-10,15,8,1,['Helen'],['MacInnes'],['F'],['white']
1081,CLOAK OF DECEPTION,James Luceno,2001,2,2001-06-17,12,12,1,['James'],['Luceno'],['M'],[None]
1082,CLOCK DANCE,Anne Tyler,2018,5,2018-07-29,3,3,1,['Anne'],['Tyler'],['F'],['white']
1083,CLOCK WITHOUT HANDS,Carson McCullers,1961,22,1961-09-03,15,7,1,['Carson'],['McCullers'],['M'],['white']
1084,CLOSE COMBAT,W. E. B. Griffin,1993,7,1993-01-31,7,4,1,['W.'],['Griffin'],[None],['white']
1085,CLOSE YOUR EYES,Iris Johansen and Roy Johansen,2012,1,2012-08-05,10,10,2,"['Iris', 'Roy']","['Johansen', 'Johansen']","['F', 'M']","['white', 'white']"
1086,CLUNY BROWN,Margery Sharp,1944,2,1944-10-01,4,3,1,['Margery'],['Sharp'],['F'],['white']
1087,COAST ROAD,Barbara Delinsky,1998,5,1998-08-09,14,13,1,['Barbara'],['Delinsky'],['F'],[None]
1088,COCKPIT,Jerzy Kosiniski,1975,1,1975-09-28,10,10,1,['Jerzy'],['Kosiniski'],['M'],[None]
1089,COCONUT LAYER CAKE MURDER,Joanne Fluke,2020,1,2020-03-15,6,6,1,['Joanne'],['Fluke'],['F'],['white']
109,A FEVER IN THE BLOOD,William Pearson,1959,3,1959-12-06,16,14,1,['William'],['Pearson'],['M'],['white']
1090,CODE OF CONDUCT,Brad Thor,2015,6,2015-07-26,3,3,1,['Brad'],['Thor'],['M'],['api']
1091,CODE TO ZERO,Ken Follett,2000,8,2000-12-24,8,3,1,['Ken'],['Follett'],['M'],['white']
1092,COGAN'S TRADE,George Higgins,1974,1,1974-04-28,10,10,1,['George'],['Higgins'],['M'],['white']
1093,COLD BETRAYAL,J. A. Jance,2015,1,2015-03-29,13,13,1,['J.'],['Jance'],['M'],['white']
1094,COLD COLD HEART,Tami Hoag,2015,3,2015-02-01,5,5,1,['Tami'],['Hoag'],['F'],['white']
1095,COLD DAYS,Jim Butcher,2012,2,2012-12-16,1,1,1,['Jim'],['Butcher'],['M'],['white']
1096,COLD FIRE,Dean R. Koontz,1991,16,1991-01-27,3,1,1,['Dean'],['Koontz'],['M'],['white']
1097,COLD HARBOUR,Jack Higgins,1990,12,1990-01-21,15,4,1,['Jack'],['Higgins'],['M'],['white']
1098,COLD MOUNTAIN,Charles Frazier,1997,61,1997-07-13,13,1,1,['Charles'],['Frazier'],['M'],['white']
1099,COLD PARADISE,Stuart Woods,2001,5,2001-05-13,8,6,1,['Stuart'],['Woods'],['M'],['white']
11,''M'' IS FOR MALICE,Sue Grafton,1997,1,1997-01-12,14,14,1,['Sue'],['Grafton'],['F'],['white']
110,A FEW FOOLISH ONES,Gladys Hasty Carroll,1935,3,1935-05-13,5,5,1,['Gladys'],['Carroll'],['F'],['white']
1100,COLD SERVICE,Robert B. Parker,2005,4,2005-03-27,6,6,1,['Robert'],['Parker'],['M'],['white']
1101,COLD VENGEANCE,Douglas Preston and Lincoln Child,2011,5,2011-08-21,1,1,2,"['Douglas', 'Lincoln']","['Preston', 'Child']","['M', 'M']","['white', 'white']"
1102,COLD WIND,C. J. Box,2011,1,2011-04-10,10,10,1,['C.'],['Box'],[None],['white']
1103,COLLATERAL DAMAGE,Stuart Woods,2013,3,2013-01-27,5,5,1,['Stuart'],['Woods'],['M'],['white']
1104,COLLECTED STORIES OF WALLACE STEGNER,Wallace Stegner,1990,3,1990-04-15,15,14,1,['Wallace'],['Stegner'],['M'],['white']
1105,COLONY,Anne Rivers Siddons,1992,12,1992-07-19,14,4,1,['Anne'],['Siddons'],['F'],['white']
1106,COLORLESS TSUKURU TAZAKI AND HIS YEARS OF PILGRIMAGE,Haruki Murakami,2014,7,2014-08-31,1,1,1,['Haruki'],['Murakami'],['M'],['api']
1107,COLOUR SCHEME,Ngaio Marsh,1943,1,1943-07-26,5,5,1,['Ngaio'],['Marsh'],['F'],['white']
1108,COLUMBELLA,Phyllis Whitney,1966,8,1966-05-08,10,8,1,['Phyllis'],['Whitney'],['F'],['white']
1109,COMA,Robin Cook,1977,13,1977-07-24,9,6,1,['Robin'],['Cook'],['F'],['white']
111,A FEW OF THE GIRLS,Maeve Binchy,2016,2,2016-03-20,12,12,1,['Maeve'],['Binchy'],['F'],[None]
1110,COMANCHE MOON,Larry McMurtry,1997,11,1997-11-16,11,7,1,['Larry'],['McMurtry'],['M'],['white']
1111,COME AND GET IT,Edna Ferber,1935,14,1935-03-04,1,1,1,['Edna'],['Ferber'],['F'],['white']
1112,COME HOME,Lisa Scottoline,2012,3,2012-04-29,4,4,1,['Lisa'],['Scottoline'],['F'],[None]
1113,"COME NINEVEH, COME TYRE",Allen Drury,1973,26,1973-11-25,8,2,1,['Allen'],['Drury'],['M'],['white']
1114,COME POUR THE WINE,Cynthia Freeman,1980,27,1980-10-19,11,3,1,['Cynthia'],['Freeman'],['F'],['white']
1115,COME RAIN OR COME SHINE,Jan Karon,2015,4,2015-10-11,1,1,1,['Jan'],['Karon'],['F'],['white']
1116,COME SUNDOWN,Nora Roberts,2017,5,2017-06-18,1,1,1,['Nora'],['Roberts'],['F'],['white']
1117,COME THE SPRING,Julie Garwood,1997,3,1997-11-23,7,7,1,['Julie'],['Garwood'],['F'],['white']
1118,COME TO GRIEF,Dick Francis,1995,7,1995-10-01,5,4,1,['Dick'],['Francis'],['M'],['white']
1119,COME WITH ME TO MACEDONIA,Leonard Drohan,1957,1,1957-09-29,16,16,1,['Leonard'],['Drohan'],['M'],['white']
112,A FISTFUL OF COLLARS,Spencer Quinn,2012,1,2012-09-30,16,16,1,['Spencer'],['Quinn'],['M'],['white']
1120,"COME, MY BELOVED",Pearl S. Buck,1953,11,1953-08-30,11,7,1,['Pearl'],['Buck'],['F'],['white']
1121,COMEBACK,Dick Francis,1991,12,1991-11-03,5,3,1,['Dick'],['Francis'],['M'],['white']
1122,COMETH THE HOUR,Jeffrey Archer,2016,3,2016-03-06,1,1,1,['Jeffrey'],['Archer'],['M'],['white']
1123,COMFORT ME WITH APPLES,Peter De Vries,1956,13,1956-05-20,10,7,1,['Peter'],['Vries'],['M'],[None]
1124,COMING HOME,Lester Cohen,1945,1,1945-09-09,15,15,1,['Lester'],['Cohen'],['M'],['white']
1125,COMING HOME,Rosamunde Pilcher,1995,18,1995-09-10,3,2,1,['Rosamunde'],['Pilcher'],['F'],['white']
1126,COMING OUT,Danielle Steel,2006,7,2006-07-16,3,2,1,['Danielle'],['Steel'],['F'],['white']
1127,COMMAND AUTHORITY,Tom Clancy with Mark Greaney,2013,9,2013-12-22,1,1,1,['Tom'],['Greaney'],['M'],['white']
1128,COMMAND DECISION,William Wister Haines,1947,3,1947-02-02,14,14,1,['William'],['Haines'],['M'],['white']
1129,COMMAND THE MORNING,Pearl S. Buck,1959,3,1959-06-07,14,14,1,['Pearl'],['Buck'],['F'],['white']
113,A FLAG FOR SUNRISE,Robert Stone,1981,1,1981-11-22,9,9,1,['Robert'],['Stone'],['M'],['white']
1130,COMMITMENTs,Barbara Delinsky,2001,1,2001-03-18,12,12,1,['Barbara'],['Delinsky'],['F'],[None]
1131,COMMODORE HORNBLOWER,C. S. Forester,1945,13,1945-07-01,4,3,1,['C.'],['Forester'],[None],['white']
1132,COMMONWEALTH,Ann Patchett,2016,18,2016-10-02,1,1,1,['Ann'],['Patchett'],['F'],['white']
1133,COMPANY MAN,Joseph Finder,2005,1,2005-05-08,15,15,1,['Joseph'],['Finder'],['M'],['white']
1134,COMPULSION,Jonathan Kellerman,2008,5,2008-04-13,1,1,1,['Jonathan'],['Kellerman'],['M'],['white']
1135,COMPULSION,Meyer Levin,1956,54,1956-11-18,10,2,1,['Meyer'],['Levin'],['M'],['white']
1136,CONCEALED IN DEATH,J. D. Robb,2014,4,2014-03-09,1,1,1,['J.'],['Robb'],['M'],['white']
1137,CONDOMINIUM,John D. MacDonald,1977,27,1977-04-24,9,3,1,['John'],['MacDonald'],['M'],['white']
1138,CONFESSIONAL,Jack Higgins,1985,1,1985-07-07,15,15,1,['Jack'],['Higgins'],['M'],['white']
1139,CONFESSIONS OF A SOCIOPATHIC SOCIAL CLIMBER,Adèle Lang,2002,1,2002-06-23,14,14,1,['Adèle'],['Lang'],[None],['white']
114,A GARDEN TO THE EASTWARD,Harold Lamb,1947,2,1947-04-13,13,13,1,['Harold'],['Lamb'],['M'],['white']
1140,CONFESSIONS OF A WILD CHILD,Jackie Collins,2014,1,2014-02-23,13,13,1,['Jackie'],['Collins'],['F'],['white']
1141,CONFESSIONS OF FELIX KRULL,Thomas Mann,1955,8,1955-10-09,9,8,1,['Thomas'],['Mann'],['M'],['white']
1142,CONFESSOR,Terry Goodkind,2007,4,2007-12-02,2,2,1,['Terry'],['Goodkind'],['M'],['white']
1143,CONFESSORS OF THE NAME,Gladys Schmitt,1952,4,1952-11-16,14,11,1,['Gladys'],['Schmitt'],['F'],['white']
1144,CONGO,Michael Crichton,1980,12,1980-12-28,13,6,1,['Michael'],['Crichton'],['M'],['white']
1145,CONGO SONG,Stuart Cloete,1943,1,1943-03-22,5,5,1,['Stuart'],['Cloete'],['M'],[None]
1146,CONNECTIONS IN DEATH,J.D. Robb,2019,4,2019-02-24,3,3,1,['J.D.'],['Robb'],[None],['white']
1147,CONSENT TO KILL,Vince Flynn,2005,6,2005-10-30,4,3,1,['Vince'],['Flynn'],['M'],['white']
1148,"CONSIDER THIS, SENORA",Harriet Doerr,1993,2,1993-09-19,15,13,1,['Harriet'],['Doerr'],['F'],['white']
1149,CONTACT,Carl Sagan,1985,24,1985-10-13,7,3,1,['Carl'],['Sagan'],['M'],['white']
115,A GATE AT THE STAIRS,Lorrie Moore,2009,3,2009-09-20,10,10,1,['Lorrie'],['Moore'],['F'],['white']
1150,CONTAGION,Robin Cook,1996,8,1996-01-28,14,4,1,['Robin'],['Cook'],['F'],['white']
1151,CONTRABAND,Stuart Woods,2019,1,2019-09-01,10,10,1,['Stuart'],['Woods'],['M'],['white']
1152,CONVENTION,Fletcher Knebel and Charles W. Bailey II,1964,27,1964-03-29,8,2,2,"['Fletcher', 'Charles']","['Knebel', 'II']","['M', 'M']","['white', 'white']"
1153,CONVICTION,Aaron Allston,2011,2,2011-06-12,3,3,1,['Aaron'],['Allston'],['M'],['white']
1154,CONVICTION,Richard North Patterson,2005,4,2005-02-13,4,4,1,['Richard'],['Patterson'],['M'],['white']
1155,COP TOWN,Karin Slaughter,2014,1,2014-07-13,9,9,1,['Karin'],['Slaughter'],['F'],['white']
1156,COPPER BEACH,Jayne Ann Krentz,2012,1,2012-01-29,8,8,1,['Jayne'],['Krentz'],['F'],['white']
1157,COROMANDEL!,John Masters,1955,3,1955-04-17,15,15,1,['John'],['Masters'],['M'],['white']
1158,CORPUS OF JOE BAILEY,Oakley Hall,1953,6,1953-05-03,15,10,1,['Oakley'],['Hall'],['M'],['white']
1159,CORSAIR,Clive Cussler and Jack Du Brul,2009,5,2009-03-29,2,2,2,"['Clive', 'Jack']","['Cussler', 'Brul']","['M', 'M']","[None, None]"
116,A GENTLEMAN IN MOSCOW,Amor Towles,2016,59,2016-09-25,8,6,1,['Amor'],['Towles'],['F'],['white']
1160,COSMOPOLITANS,Somerset Maugham,1936,1,1936-03-09,7,7,1,['Somerset'],['Maugham'],['F'],[None]
1161,COTTAGE BY THE SEA,Debbie Macomber,2018,6,2018-08-05,3,3,1,['Debbie'],['Macomber'],['F'],['white']
1162,COUNTDOWN,Iris Johansen,2005,3,2005-05-29,6,6,1,['Iris'],['Johansen'],['F'],['white']
1163,COUNTERATTACK,W. E. B. Griffin,1990,11,1990-02-04,12,5,1,['W.'],['Griffin'],[None],['white']
1164,COUNTRY,Danielle Steel,2015,3,2015-07-05,8,8,1,['Danielle'],['Steel'],['F'],['white']
1165,COUNTRY CHRONICLE,Angela Thirkell,1950,4,1950-11-26,16,15,1,['Angela'],['Thirkell'],['F'],[None]
1166,COUP DE GRACE,Marguerite Yourcenar,1957,1,1957-08-11,16,16,1,['Marguerite'],['Yourcenar'],['F'],[None]
1167,COUPLES,John Updike,1968,36,1968-04-14,10,1,1,['John'],['Updike'],['M'],['white']
1168,COURTING TROUBLE,Lisa Scottoline,2002,3,2002-06-09,8,8,1,['Lisa'],['Scottoline'],['F'],[None]
1169,COVER OF NIGHT,Linda Howard,2006,4,2006-07-16,6,6,1,['Linda'],['Howard'],['F'],['white']
117,A GIRL'S GUIDE TO MOVING ON,Debbie Macomber,2016,2,2016-03-20,5,5,1,['Debbie'],['Macomber'],['F'],['white']
1170,COVERT GAME,Christine Feehan,2018,1,2018-04-08,12,12,1,['Christine'],['Feehan'],['F'],['white']
1171,COVERT WARRIORS,W. E. B. Griffin and William E. Butterworth IV,2012,1,2012-01-15,14,14,2,"['W.', 'William']","['Griffin', 'IV']","[None, 'M']","['white', 'api']"
1172,COYOTE WAITS,Tony Hillerman,1990,13,1990-07-08,11,3,1,['Tony'],['Hillerman'],['M'],['white']
1173,CRADLE AND ALL,James Patterson,2000,10,2000-06-11,2,2,1,['James'],['Patterson'],['M'],['white']
1174,CRASH AND BURN,Lisa Gardner,2015,3,2015-02-22,7,7,1,['Lisa'],['Gardner'],['F'],['white']
1175,CREAM PUFF MURDER,Joanne Fluke,2009,1,2009-03-15,12,12,1,['Joanne'],['Fluke'],['F'],['white']
1176,CREATION,Gore Vidal,1981,16,1981-04-05,9,2,1,['Gore'],['Vidal'],[None],['hispanic']
1177,CREATION IN DEATH,J. D. Robb,2007,4,2007-11-25,2,2,1,['J.'],['Robb'],['M'],['white']
1178,CREATURES OF CIRCUMSTANCE,W Somerset Maughan,1947,8,1947-08-17,14,7,1,['W'],['Maughan'],[None],['white']
1179,CREEK MARY'S BLOOD,Dee Brown,1980,11,1980-04-06,14,9,1,['Dee'],['Brown'],['F'],['white']
118,A GOD IN RUINS,Kate Atkinson,2015,2,2015-05-24,6,6,1,['Kate'],['Atkinson'],['F'],['white']
1180,CREOLE BELLE,James Lee Burke,2012,3,2012-08-05,5,5,1,['James'],['Burke'],['M'],['white']
1181,CRESCENT CITY,Belva Plain,1984,10,1984-09-16,11,5,1,['Belva'],['Plain'],['F'],['white']
1182,CRESCENT DAWN,Clive Cussler and Dirk Cussler,2010,6,2010-12-05,4,4,2,"['Clive', 'Dirk']","['Cussler', 'Cussler']","['M', 'M']","[None, None]"
1183,CRESS DELAHANTY,Jessamyn West,1954,11,1954-01-31,10,8,1,['Jessamyn'],['West'],['F'],['white']
1184,CRIME SCENE,Jonathan Kellerman and Jesse Kellerman,2017,2,2017-08-20,9,9,2,"['Jonathan', 'Jesse']","['Kellerman', 'Kellerman']","['M', 'M']","['white', 'white']"
1185,CRIMEFILE NO. 1,Dennis Wheatley and J. H. Links,1936,5,1936-10-12,6,5,2,"['Dennis', 'J.']","['Wheatley', 'Links']","['M', 'M']","['white', 'white']"
1186,CRIMINAL,Karin Slaughter,2012,3,2012-07-22,4,4,1,['Karin'],['Slaughter'],['F'],['white']
1187,CRIMSON DEATH,Laurell K. Hamilton,2016,1,2016-10-30,9,9,1,['Laurell'],['Hamilton'],['F'],['white']
1188,CRIMSON IS THE EASTERN SHORE,Don Tracy,1953,1,1953-05-03,16,16,1,['Don'],['Tracy'],['M'],['white']
1189,CRIMSON JOY,Robert B. Parker,1988,11,1988-06-05,14,6,1,['Robert'],['Parker'],['M'],['white']
119,A GOD IN RUINS,Leon Uris,1999,2,1999-06-13,14,14,1,['Leon'],['Uris'],['M'],[None]
1190,CRIMSON SHORE,Douglas Preston and Lincoln Child,2015,2,2015-11-29,6,6,2,"['Douglas', 'Lincoln']","['Preston', 'Child']","['M', 'M']","['white', 'white']"
1191,CRIPPLED SPLENDOUR,Evan John,1938,2,1938-10-03,7,6,1,['Evan'],['John'],['M'],['white']
1192,CRISIS,Robin Cook,2006,4,2006-08-27,3,3,1,['Robin'],['Cook'],['F'],['white']
1193,CRISS CROSS,James Patterson,2019,8,2019-12-15,4,3,1,['James'],['Patterson'],['M'],['white']
